song,total,write,read,dwt,gen_fpid
song60_extra.wav,0.267830,0.063070,0.006990,0.119337,0.062847
song61_extra.wav,0.285326,0.063640,0.006949,0.119258,0.079779
song63_extra.wav,0.274334,0.069942,0.006970,0.119149,0.062880
song64_extra.wav,0.267360,0.062662,0.006922,0.119342,0.062923
song65_extra.wav,0.270799,0.062629,0.010467,0.119223,0.062860
song66_extra.wav,0.268295,0.063268,0.007260,0.119437,0.062832
song67_extra.wav,0.268139,0.063636,0.006924,0.119138,0.062894
song68_extra.wav,0.267850,0.063494,0.006867,0.119273,0.062867
song69_extra.wav,0.267334,0.062777,0.007003,0.119079,0.062905
song70_extra.wav,0.267552,0.062930,0.006932,0.119358,0.062856
song71_extra.wav,0.267489,0.062932,0.006914,0.119185,0.062866
song72_extra.wav,0.267979,0.063362,0.006940,0.119307,0.062849
song73_extra.wav,0.276269,0.062293,0.006906,0.128750,0.062797
song74_extra.wav,0.267737,0.063337,0.006910,0.119201,0.062930
song75_extra.wav,0.279354,0.062768,0.007016,0.119162,0.074958
song76_extra.wav,0.268565,0.063167,0.006953,0.119736,0.062964
song78_extra.wav,0.267917,0.063390,0.006902,0.119253,0.062946
song79_extra.wav,0.268005,0.063550,0.006971,0.119101,0.062892
song7_extra.wav,0.267349,0.062954,0.006932,0.119257,0.062867
song80_extra.wav,0.268107,0.063519,0.006879,0.119299,0.062862
song81_extra.wav,0.267513,0.063282,0.006916,0.119057,0.062871
song82_extra.wav,0.267508,0.063227,0.006857,0.119067,0.062864
song83_extra.wav,0.267446,0.063093,0.006914,0.119166,0.062935
song85_extra.wav,0.267478,0.063120,0.006932,0.119083,0.062862
song86_extra.wav,0.267649,0.063194,0.006965,0.119199,0.062842
song87_extra.wav,0.279544,0.063085,0.006891,0.131101,0.062868
song88_extra.wav,0.266844,0.062609,0.006867,0.119132,0.062865
song89_extra.wav,0.287877,0.063620,0.006933,0.119267,0.082536
song8_extra.wav,0.274235,0.069681,0.007100,0.119216,0.062838
song90_extra.wav,0.270588,0.063272,0.006885,0.119217,0.062858
song92_extra.wav,0.267761,0.063289,0.006919,0.119248,0.062869
song93_extra.wav,0.269510,0.063710,0.007375,0.119600,0.062890
song94_extra.wav,0.267589,0.063010,0.006931,0.119113,0.062893
song95_extra.wav,0.273781,0.069324,0.006895,0.119192,0.062859
song96_extra.wav,0.266660,0.062315,0.006950,0.119122,0.062888
song97_extra.wav,0.267552,0.062938,0.007148,0.119172,0.062844
song98_extra.wav,0.266889,0.062384,0.006884,0.119137,0.062882
song9_extra.wav,0.268051,0.063574,0.006889,0.119170,0.062936
song0.wav,0.257198,0.062501,0.006951,0.109364,0.062900
song10.wav,0.267249,0.062601,0.007102,0.119219,0.062833
song111.wav,0.284020,0.063665,0.007032,0.119161,0.078677
song113.wav,0.267552,0.062932,0.006943,0.119326,0.062841
song115.wav,0.267774,0.063369,0.006900,0.119229,0.062859
song117.wav,0.267765,0.063169,0.006963,0.119141,0.062883
song119.wav,0.267500,0.063019,0.006884,0.119244,0.062888
song120.wav,0.267634,0.063184,0.006924,0.119175,0.062852
song105_extra.wav,0.267746,0.063073,0.007181,0.119178,0.062907
song106_extra.wav,0.268139,0.062993,0.006982,0.119501,0.062969
song107_extra.wav,0.267308,0.062804,0.006912,0.119238,0.062847
song109_extra.wav,0.267217,0.062592,0.006903,0.119147,0.062937
song10_extra.wav,0.267571,0.062975,0.006924,0.119243,0.062899
song11_extra.wav,0.257447,0.062964,0.006910,0.109124,0.062839
song1_extra.wav,0.267280,0.062830,0.006940,0.119180,0.062918
song0_extra.wav,0.284972,0.062620,0.006902,0.119223,0.080841
song100_extra.wav,0.274081,0.070015,0.006880,0.119098,0.062871
song101_extra.wav,0.267524,0.062970,0.006934,0.119204,0.062990
song102_extra.wav,0.266938,0.062442,0.006882,0.119223,0.062856
