song,total,write,read,dwt,gen_fpid
song60_extra.wav,0.377998,0.093873,0.011098,0.091592,0.136590
song61_extra.wav,0.386002,0.093889,0.011498,0.091694,0.136694
song63_extra.wav,0.368779,0.093881,0.011750,0.091345,0.130204
song64_extra.wav,0.343549,0.083593,0.009795,0.084050,0.130108
song65_extra.wav,0.345395,0.084143,0.011702,0.083482,0.130355
song66_extra.wav,0.342401,0.082510,0.009722,0.083741,0.130324
song67_extra.wav,0.358835,0.089832,0.011798,0.083670,0.130182
song68_extra.wav,0.339961,0.083217,0.009787,0.079149,0.130931
song69_extra.wav,0.357393,0.084163,0.010032,0.083602,0.141629
song70_extra.wav,0.323075,0.077537,0.009934,0.078948,0.126097
song71_extra.wav,0.323233,0.078085,0.009972,0.078731,0.126142
song72_extra.wav,0.329249,0.077457,0.010118,0.085540,0.125941
song73_extra.wav,0.322706,0.077633,0.009844,0.078892,0.125919
song74_extra.wav,0.325405,0.079487,0.010003,0.079183,0.126191
song75_extra.wav,0.328176,0.083488,0.009960,0.078767,0.126007
song76_extra.wav,0.307238,0.072647,0.008860,0.076263,0.123202
song78_extra.wav,0.306294,0.073117,0.008790,0.075137,0.123172
song79_extra.wav,0.306832,0.073497,0.008734,0.075232,0.123058
song7_extra.wav,0.309717,0.073002,0.008863,0.075117,0.126527
song80_extra.wav,0.306325,0.073156,0.008797,0.075365,0.123056
song81_extra.wav,0.305595,0.072963,0.008671,0.075026,0.123052
song82_extra.wav,0.272574,0.079238,0.008773,0.075221,0.083105
song83_extra.wav,0.306794,0.073753,0.008764,0.075156,0.123029
song85_extra.wav,0.293548,0.069890,0.007812,0.072333,0.120767
song86_extra.wav,0.294138,0.070109,0.007891,0.072514,0.120811
song87_extra.wav,0.294110,0.069840,0.007797,0.072552,0.120851
song88_extra.wav,0.274068,0.070217,0.007996,0.051837,0.120896
song89_extra.wav,0.293825,0.069554,0.007821,0.072706,0.120882
song8_extra.wav,0.293861,0.069590,0.007929,0.072478,0.120862
song90_extra.wav,0.294142,0.069741,0.007870,0.072658,0.120933
song92_extra.wav,0.294883,0.070437,0.007861,0.072559,0.120920
