song_names,total_time
song375.wav,0.020929
song376.wav,0.020504
song377.wav,0.021586
song378.wav,0.021044
song379.wav,0.021722
song37.wav,0.020547
song380.wav,0.024104
song381.wav,0.019832
song382.wav,0.019582
song383.wav,0.019332
song384.wav,0.020705
song385.wav,0.020251
song386.wav,0.020193
song387.wav,0.020221
song388.wav,0.020377
song389.wav,0.020886
song38.wav,0.019224
song390.wav,0.020627
song391.wav,0.020593
song392.wav,0.021854
song393.wav,0.020135
song394.wav,0.019198
song395.wav,0.020090
song396.wav,0.020320
song397.wav,0.018306
song398.wav,0.020234
song399.wav,0.017984
song39.wav,0.020804
song3.wav,0.021594
song400.wav,0.020945
song401.wav,0.021212
song402.wav,0.020921
song403.wav,0.020646
song404.wav,0.021005
song405.wav,0.020823
song406.wav,0.019815
song407.wav,0.019688
song408.wav,0.019776
song409.wav,0.021689
song40.wav,0.020474
song410.wav,0.020925
song411.wav,0.020243
song412.wav,0.020973
song413.wav,0.020497
song414.wav,0.019785
song415.wav,0.021461
song416.wav,0.022108
song417.wav,0.020033
song418.wav,0.020688
song419.wav,0.021551
song41.wav,0.019731
song420.wav,0.021162
song421.wav,0.022162
song422.wav,0.021879
song423.wav,0.019362
song424.wav,0.020642
song425.wav,0.019966
song426.wav,0.021029
song427.wav,0.021372
song428.wav,0.020484
song429.wav,0.021534
song42.wav,0.021394
song430.wav,0.020752
song431.wav,0.023052
song432.wav,0.018585
song433.wav,0.019986
song434.wav,0.019955
song435.wav,0.021901
song436.wav,0.021316
song437.wav,0.021296
song438.wav,0.020208
song439.wav,0.020184
song43.wav,0.019712
song440.wav,0.020571
song441.wav,0.019815
song442.wav,0.020139
song443.wav,0.021162
song444.wav,0.018755
song445.wav,0.020316
song446.wav,0.021109
song447.wav,0.021530
song448.wav,0.022473
song449.wav,0.022799
song44.wav,0.019202
song450.wav,0.020664
song451.wav,0.021107
song452.wav,0.020163
song453.wav,0.020167
song454.wav,0.020260
song455.wav,0.019636
song456.wav,0.020040
song457.wav,0.020172
song458.wav,0.021296
song459.wav,0.021532
song45.wav,0.020701
song460.wav,0.020610
song461.wav,0.020972
song462.wav,0.021035
song463.wav,0.019506
song464.wav,0.021268
song465.wav,0.019038
song466.wav,0.024443
song467.wav,0.020575
song468.wav,0.020251
song469.wav,0.020497
song46.wav,0.020729
song470.wav,0.020547
song471.wav,0.021219
song472.wav,0.020482
song473.wav,0.019984
song474.wav,0.019794
song475.wav,0.019969
song476.wav,0.020823
song477.wav,0.020308
song478.wav,0.020839
song479.wav,0.021674
song47.wav,0.019675
song480.wav,0.021376
song481.wav,0.021370
song482.wav,0.020318
song483.wav,0.023212
song484.wav,0.020461
song485.wav,0.019915
song486.wav,0.020882
song487.wav,0.020027
song488.wav,0.020638
song489.wav,0.019897
song48.wav,0.021858
song490.wav,0.019437
song491.wav,0.020728
song492.wav,0.021471
song493.wav,0.020435
song494.wav,0.021471
song495.wav,0.020303
song496.wav,0.020824
song497.wav,0.020333
song498.wav,0.020007
song499.wav,0.021424
song49.wav,0.021091
song4.wav,0.023272
song500.wav,0.021517
song501.wav,0.021270
song502.wav,0.021134
song503.wav,0.021579
song504.wav,0.019804
song505.wav,0.020908
song506.wav,0.019951
song507.wav,0.020459
song508.wav,0.020744
song509.wav,0.019062
song50.wav,0.021484
song510.wav,0.021979
song511.wav,0.019159
song512.wav,0.020426
song513.wav,0.021344
song514.wav,0.020001
song515.wav,0.020947
song516.wav,0.019370
song517.wav,0.025120
song518.wav,0.019854
song519.wav,0.021605
song51.wav,0.018271
song520.wav,0.021314
song521.wav,0.020092
song522.wav,0.020413
song523.wav,0.020575
song524.wav,0.020826
song525.wav,0.021389
song526.wav,0.019062
song527.wav,0.021312
song528.wav,0.020158
song529.wav,0.020955
song52.wav,0.018632
song530.wav,0.020953
song531.wav,0.020681
song532.wav,0.021154
song533.wav,0.019504
song534.wav,0.023186
song535.wav,0.020178
song536.wav,0.020871
song537.wav,0.020400
song538.wav,0.018835
song539.wav,0.021314
song53.wav,0.020329
song540.wav,0.021670
song541.wav,0.020504
song542.wav,0.020050
song543.wav,0.020033
song544.wav,0.021048
song545.wav,0.021273
song546.wav,0.020744
song547.wav,0.020575
